FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Danh-gia-Panasonic-Lumix-FX77-score.xml_000A9,Strict,20,4,4,19,0.7142857142857143,0.46511627906976744,0.5633802816901409
Danh-gia-Pentax-K-5-score.xml_000AC,Strict,34,9,11,37,0.6296296296296297,0.425,0.5074626865671642
Danh-gia-pre-ampli-Ayre-KX-R-score.xml_000AF,Strict,27,2,12,14,0.6585365853658537,0.627906976744186,0.6428571428571429
Danh-gia-Samsung-Galaxy-Nexus-score.xml_000B2,Strict,317,32,91,351,0.7204545454545455,0.45285714285714285,0.5561403508771929
Danh-gia-Samsung-Galaxy-S-II-score.xml_000B5,Strict,46,10,6,42,0.7419354838709677,0.46938775510204084,0.5750000000000001
Danh-gia-Samsung-Multiview-MV800-score.xml_000B8,Strict,3,2,3,15,0.375,0.15,0.21428571428571425
Danh-gia-Sony-Ericsson-Vivaz-score.xml_000BB,Strict,20,5,7,37,0.625,0.3225806451612903,0.425531914893617
Danh-gia-Sony-Ericsson-Xperia-Arc-S-score.xml_000BE,Strict,15,1,5,13,0.7142857142857143,0.5172413793103449,0.6000000000000001
Danh-gia-Sony-Ericsson-Xperia-Arc-score.xml_000C1,Strict,38,14,10,44,0.6129032258064516,0.3958333333333333,0.4810126582278481
Danh-gia-tai-nghe-Sennheiser-HD-218-score.xml_000C4,Strict,31,7,7,11,0.6888888888888889,0.6326530612244898,0.6595744680851063
Danh-gia-tai-nghe-Sennheiser-OMX-680i-Sports-score.xml_000C7,Strict,40,5,7,22,0.7692307692307693,0.5970149253731343,0.6722689075630253
De-2-SIM-2-song-pin-cuc-khoe-score.xml_000CA,Strict,66,4,9,87,0.8354430379746836,0.42038216560509556,0.5593220338983051
Dell-Adamo-kiet-tac-duc-ket-score.xml_000CD,Strict,170,16,35,129,0.7692307692307693,0.5396825396825397,0.6343283582089553
Dell-Mini-10-su-lua-chon-nua-voi-score.xml_000D0,Strict,71,15,24,71,0.6454545454545455,0.45222929936305734,0.5318352059925093
Dien-thoai-la---Motorola-BackFlip-score.xml_000D3,Strict,28,3,10,40,0.6829268292682927,0.39436619718309857,0.5
Doanh-nhan-HP-Compaq-2230s-score.xml_000D6,Strict,55,8,7,67,0.7857142857142857,0.4230769230769231,0.55
Dung-thu-laptop-Acer-Aspire-4738Z-score.xml_000D9,Strict,14,7,9,25,0.4666666666666667,0.30434782608695654,0.3684210526315789
Dung-thu-Sony-Cyber-shot-T90-score.xml_000DC,Strict,115,12,23,114,0.7666666666666667,0.47717842323651455,0.5882352941176471
Edge-mang-luong-gio-moi-cho-ThinkPad-score.xml_000DF,Strict,65,3,16,78,0.7738095238095238,0.4452054794520548,0.5652173913043478
Eee-PC-1000H-giao-thoi-netbook-va-ultraportable-score.xml_000E2,Strict,100,4,18,79,0.819672131147541,0.546448087431694,0.6557377049180327
Eee-PC-1008HA-Seashell-score.xml_000E5,Strict,96,9,19,53,0.7741935483870968,0.6075949367088608,0.6808510638297873
FPT-F99---di-dong-bat-chuoc-smartphone-score.xml_000E8,Strict,20,1,0,15,0.9523809523809523,0.5555555555555556,0.7017543859649122
FX48-ban-Lumix-mo-nhat-score.xml_000EB,Strict,120,13,32,109,0.7272727272727273,0.49586776859504134,0.5896805896805898
Gateway-P7804G-score.xml_000EE,Strict,98,8,21,87,0.7716535433070866,0.5077720207253886,0.6125
Giai-tri-choi-game-voi-Acer-Aspire-5739G-score.xml_000F1,Strict,127,21,31,138,0.7094972067039106,0.44405594405594406,0.5462365591397849
HP-G42-su-lua-chon-dang-tien-score.xml_000F4,Strict,25,5,2,29,0.78125,0.423728813559322,0.5494505494505494
HP-ProBook-4420s-diem-sang-cua-dong-ProBook-moi-score.xml_000F7,Strict,52,7,3,103,0.8387096774193549,0.32098765432098764,0.4642857142857143
HP-Veer---smartphone-ti-hon-manh-me-score.xml_000FA,Strict,31,7,15,26,0.5849056603773585,0.484375,0.5299145299145298
HTC-Touch-Diamond-2-score.xml_000FD,Strict,161,26,33,139,0.7318181818181818,0.4938650306748466,0.5897435897435898
Huyen-thoai-moi---HTC-Legend-score.xml_00100,Strict,25,4,9,36,0.6578947368421053,0.38461538461538464,0.4854368932038836
