FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Danh-gia-Nokia-X3-Touch-and-Type-score.xml_000A6,Strict,39,14,6,2,0.6610169491525424,0.7090909090909091,0.6842105263157895
Danh-gia-Panasonic-Lumix-FX77-score.xml_000A9,Strict,27,10,6,5,0.627906976744186,0.6428571428571429,0.6352941176470588
Danh-gia-Pentax-K-5-score.xml_000AC,Strict,50,18,21,7,0.5617977528089888,0.6666666666666666,0.6097560975609757
Danh-gia-pre-ampli-Ayre-KX-R-score.xml_000AF,Strict,30,4,17,2,0.5882352941176471,0.8333333333333334,0.6896551724137931
Danh-gia-Samsung-Galaxy-Nexus-score.xml_000B2,Strict,504,73,187,58,0.6596858638743456,0.7937007874015748,0.7205146533238028
Danh-gia-Samsung-Galaxy-S-II-score.xml_000B5,Strict,67,20,14,4,0.6633663366336634,0.7362637362637363,0.6979166666666666
Danh-gia-Samsung-Multiview-MV800-score.xml_000B8,Strict,14,5,6,1,0.56,0.7,0.6222222222222222
Danh-gia-Sony-Ericsson-Vivaz-score.xml_000BB,Strict,42,18,14,1,0.5675675675675675,0.6885245901639344,0.6222222222222222
Danh-gia-Sony-Ericsson-Xperia-Arc-S-score.xml_000BE,Strict,20,3,13,0,0.5555555555555556,0.8695652173913043,0.6779661016949152
Danh-gia-Sony-Ericsson-Xperia-Arc-score.xml_000C1,Strict,60,29,18,7,0.5607476635514018,0.625,0.5911330049261083
Danh-gia-tai-nghe-Sennheiser-HD-218-score.xml_000C4,Strict,34,10,14,3,0.5862068965517241,0.723404255319149,0.6476190476190475
Danh-gia-tai-nghe-Sennheiser-OMX-680i-Sports-score.xml_000C7,Strict,42,10,19,8,0.5915492957746479,0.7,0.6412213740458015
De-2-SIM-2-song-pin-cuc-khoe-score.xml_000CA,Strict,113,6,33,11,0.743421052631579,0.8692307692307693,0.8014184397163121
Dell-Adamo-kiet-tac-duc-ket-score.xml_000CD,Strict,228,27,47,46,0.7549668874172185,0.7574750830564784,0.7562189054726368
Dell-Mini-10-su-lua-chon-nua-voi-score.xml_000D0,Strict,101,22,36,31,0.6352201257861635,0.6558441558441559,0.645367412140575
Dien-thoai-la---Motorola-BackFlip-score.xml_000D3,Strict,36,9,18,14,0.5714285714285714,0.6101694915254238,0.5901639344262296
Doanh-nhan-HP-Compaq-2230s-score.xml_000D6,Strict,88,18,23,11,0.6821705426356589,0.7521367521367521,0.7154471544715447
Dung-thu-laptop-Acer-Aspire-4738Z-score.xml_000D9,Strict,25,15,22,1,0.4032258064516129,0.6097560975609756,0.4854368932038835
Dung-thu-Sony-Cyber-shot-T90-score.xml_000DC,Strict,141,17,67,33,0.6266666666666667,0.7382198952879581,0.6778846153846153
Edge-mang-luong-gio-moi-cho-ThinkPad-score.xml_000DF,Strict,85,14,48,14,0.5782312925170068,0.7522123893805309,0.6538461538461537
Eee-PC-1000H-giao-thoi-netbook-va-ultraportable-score.xml_000E2,Strict,141,14,34,19,0.746031746031746,0.8103448275862069,0.7768595041322314
Eee-PC-1008HA-Seashell-score.xml_000E5,Strict,116,21,34,15,0.6783625730994152,0.7631578947368421,0.718266253869969
FPT-F99---di-dong-bat-chuoc-smartphone-score.xml_000E8,Strict,27,8,9,1,0.6136363636363636,0.75,0.6749999999999999
FX48-ban-Lumix-mo-nhat-score.xml_000EB,Strict,148,21,80,18,0.5943775100401606,0.7914438502673797,0.6788990825688074
Gateway-P7804G-score.xml_000EE,Strict,131,23,38,22,0.6822916666666666,0.7443181818181818,0.7119565217391305
Giai-tri-choi-game-voi-Acer-Aspire-5739G-score.xml_000F1,Strict,170,39,70,30,0.6093189964157706,0.7112970711297071,0.6563706563706564
HP-G42-su-lua-chon-dang-tien-score.xml_000F4,Strict,34,16,16,2,0.5151515151515151,0.6538461538461539,0.576271186440678
HP-ProBook-4420s-diem-sang-cua-dong-ProBook-moi-score.xml_000F7,Strict,98,22,23,33,0.6853146853146853,0.6405228758169934,0.6621621621621621
HP-Veer---smartphone-ti-hon-manh-me-score.xml_000FA,Strict,45,10,18,6,0.6164383561643836,0.7377049180327869,0.6716417910447762
HTC-Touch-Diamond-2-score.xml_000FD,Strict,237,37,62,22,0.7053571428571429,0.8006756756756757,0.75
Huyen-thoai-moi---HTC-Legend-score.xml_00100,Strict,51,10,15,4,0.6710526315789473,0.7846153846153846,0.7234042553191491
Kim-cuong-den-HTC-S740-score.xml_00103,Strict,128,16,57,9,0.6368159203980099,0.8366013071895425,0.7231638418079096
L640-laptop-Core-i3-gia-re-cua-Toshiba-score.xml_00106,Strict,33,17,26,3,0.4342105263157895,0.6226415094339622,0.5116279069767442
Lenovo-Y460-ban-nang-cap-gia-tri-score.xml_00109,Strict,36,18,23,6,0.4675324675324675,0.6,0.5255474452554744
LG-Mini-GD880-dep-ve-dac-biet-score.xml_0010C,Strict,56,12,8,9,0.7368421052631579,0.7272727272727273,0.7320261437908497
Lifebook-T5010---may-tinh-bang-gia-cao-score.xml_0010F,Strict,192,48,94,15,0.5748502994011976,0.7529411764705882,0.6519524617996604
Loa-di-dong-MD-221-score.xml_00112,Strict,57,5,20,10,0.6951219512195121,0.7916666666666666,0.7402597402597403
Loa-iPod-co-dinh-Microlab-MD331-score.xml_00115,Strict,63,5,7,5,0.84,0.863013698630137,0.8513513513513513
Loa-may-tinh-UCube---nho-ma-co-vo-score.xml_00118,Strict,130,6,50,27,0.6989247311827957,0.7975460122699386,0.7449856733524355
Lumix-DMC-FP3-vua-bam-vua-cham-score.xml_0011B,Strict,105,8,27,20,0.75,0.7894736842105263,0.7692307692307692
