Amazingtee	ID=108	Left=231304	Right=231305	 id = 178756
Ann Taylor	ID=109	Left=196582	Right=196583	 id = 178757
Croft & Barrow	ID=110	Left=178598	Right=178599	 id = 178758
WeSC	ID=111	Left=377600	Right=377601	 id = 178759
Weavers	ID=112	Left=339450	Right=339451	 id = 178760
Insight	ID=114	Left=90726	Right=90727	 id = 178761
Fedora Boutique	ID=115	Left=104668	Right=104669	 id = 178762
Duofold	ID=116	Left=226466	Right=226467	 id = 178763
Dereon	ID=117	Left=313736	Right=313737	 id = 178764
Chaser	ID=118	Left=366124	Right=366125	 id = 178765
Karmaloop	ID=119	Left=300346	Right=300347	 id = 178766
ECI	ID=120	Left=171986	Right=171987	 id = 178767
Vivicam	ID=121	Left=48310	Right=48311	 id = 178768
Louis Vuitton	ID=122	Left=14750	Right=14971	 id = 178769
Nine West	ID=123	Left=72172	Right=72221	 id = 178770
Tommy Hilfiger	ID=124	Left=379576	Right=379647	 id = 178771
PacSun	ID=125	Left=393274	Right=393275	 id = 178772
Bealls Florida	ID=126	Left=276054	Right=276055	 id = 178773
Macy's	ID=127	Left=196130	Right=196131	 id = 178774
Cuddl Duds	ID=128	Left=109496	Right=109497	 id = 178775
Cannondale	ID=129	Left=242304	Right=242305	 id = 178776
Burger And Friends	ID=130	Left=102478	Right=102479	 id = 178777
Balle De Match	ID=131	Left=153038	Right=153039	 id = 178778
BOOGER KIDS	ID=132	Left=91240	Right=91241	 id = 178779
Target	ID=133	Left=267144	Right=267145	 id = 178780
Reebok	ID=134	Left=102678	Right=102679	 id = 178781
Võ Việt Chung	ID=135	Left=110366	Right=110367	 id = 178782
Trina Turk	ID=136	Left=244810	Right=244811	 id = 178783
Sz	ID=137	Left=28464	Right=28465	 id = 178784
Puma	ID=138	Left=222500	Right=222629	 id = 178785
Old Navy	ID=139	Left=2702	Right=2703	 id = 178786
N&M	ID=140	Left=146514	Right=146515	 id = 178787
May 10	ID=141	Left=8900	Right=8901	 id = 178788
Marciano	ID=142	Left=180144	Right=180145	 id = 178789
Marc Jacobs	ID=143	Left=31392	Right=31677	 id = 178790
Loyer	ID=144	Left=104912	Right=104913	 id = 178791
Ivy	ID=145	Left=48684	Right=48685	 id = 178792
Ninomax	ID=146	Left=272254	Right=272255	 id = 178793
PT 2000	ID=147	Left=116272	Right=116273	 id = 178794
Empro	ID=148	Left=300362	Right=300363	 id = 178795
Mess	ID=149	Left=379402	Right=379403	 id = 178796
Eva de Eva	ID=150	Left=4218	Right=4219	 id = 178797
Joli Poli	ID=151	Left=236602	Right=236603	 id = 178798
Chic-land	ID=152	Left=207364	Right=207365	 id = 178799
Isalyna	ID=153	Left=118062	Right=118063	 id = 178800
Junbeiku	ID=154	Left=232694	Right=232695	 id = 178801
Juicy Couture	ID=155	Left=374804	Right=374827	 id = 178802
Arden B	ID=156	Left=196618	Right=196619	 id = 178803
Ai Mei	ID=157	Left=335958	Right=335959	 id = 178804
Armani	ID=158	Left=272366	Right=272711	 id = 178805
Roxy	ID=159	Left=15120	Right=15121	 id = 178806
Marc Ecko	ID=160	Left=87874	Right=87891	 id = 178807
Hanosimex	ID=162	Left=10816	Right=10817	 id = 178808
Gile youtoo	ID=163	Left=269152	Right=269153	 id = 178809
Gatexco	ID=164	Left=252126	Right=252127	 id = 178810
Free People	ID=165	Left=204586	Right=204587	 id = 178811
Esprit	ID=166	Left=11026	Right=11045	 id = 178812
